impl,threads,mh_size,rep,criterio,tiempo
gpu,8,4,3,smh_a,0.00207561
gpu,8,4,3,CB+smh_a,0.00232353
gpu,8,5,1,build_smh,0.00807839
gpu,8,5,1,smh_a,0.00783854
gpu,8,5,1,CB+smh_a,0.00999569
gpu,8,5,2,build_smh,0.00601324
gpu,8,5,2,smh_a,5.4437e-05
gpu,8,5,2,CB+smh_a,4.8736e-05
gpu,8,5,3,build_smh,0.00963166
gpu,8,5,3,smh_a,0.00576152
gpu,8,5,3,CB+smh_a,0.00865327
gpu,8,6,1,build_smh,0.00868746
gpu,8,6,1,smh_a,0.00273526
gpu,8,6,1,CB+smh_a,0.00210331
gpu,8,6,2,build_smh,0.00695003
gpu,8,6,2,smh_a,0.00168489
gpu,8,6,2,CB+smh_a,0.00205795
gpu,8,6,3,build_smh,0.00479729
gpu,8,6,3,smh_a,4.732e-05
gpu,8,6,3,CB+smh_a,4.1246e-05
gpu,8,7,1,build_smh,0.00645518
gpu,8,7,1,smh_a,4.8807e-05
gpu,8,7,1,CB+smh_a,4.4049e-05
gpu,8,7,2,build_smh,0.00665477
gpu,8,7,2,smh_a,5.615e-05
gpu,8,7,2,CB+smh_a,4.5939e-05
gpu,8,7,3,build_smh,0.00546472
gpu,8,7,3,smh_a,0.000235568
gpu,8,7,3,CB+smh_a,4.7668e-05
gpu,8,8,1,build_smh,0.00718929
gpu,8,8,1,smh_a,0.000866537
gpu,8,8,1,CB+smh_a,0.000345883
gpu,8,8,2,build_smh,0.0109501
gpu,8,8,2,smh_a,0.0033653
gpu,8,8,2,CB+smh_a,0.000901621
gpu,8,8,3,build_smh,0.00762823
gpu,8,8,3,smh_a,0.00151388
gpu,8,8,3,CB+smh_a,0.00197354
gpu,8,9,1,build_smh,0.00782185
gpu,8,9,1,smh_a,0.00215021
gpu,8,9,1,CB+smh_a,0.000750159
gpu,8,9,2,build_smh,0.0112853
gpu,8,9,2,smh_a,0.000479985
gpu,8,9,2,CB+smh_a,0.000238426
gpu,8,9,3,build_smh,0.0105903
gpu,8,9,3,smh_a,4.7653e-05
